ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
1,214,1195,867,975,603
0,176,1293,906,233,511
2,355,1235,1230,1145,1225
4,442,1480,1344,1150,1239
3,484,1518,1518,1438,1518
5,686,2148,1689,1318,1407
6,759,2106,2106,2076,2106
8,805,2471,2364,2061,2160
7,999,2478,2418,2278,2358
9,1102,2466,2425,2376,2385
10,1113,2565,2515,2455,2465
11,1168,2601,2601,2511,2601
12,1237,2844,2677,2534,2542
14,1409,3154,2970,2674,2682
13,1480,3565,3327,3085,3163
15,1533,3522,3522,3512,3522
16,1695,3410,3410,3360,3410
17,1810,3977,3760,3297,3496
18,1816,4933,4653,3973,4272
20,2071,4929,4828,4679,4728
19,2178,4923,4923,4823,4923
22,2265,4936,4936,4836,4936
21,2346,4956,4910,4856,4865
23,2359,6154,5505,4944,5063
24,2579,6365,6317,5935,6234
26,2691,6373,6373,6253,6373
25,2737,7178,6852,6328,6527
27,2957,7328,7167,6958,7048
29,2970,7626,7538,7316,7396
28,3029,8218,7820,7568,7658
30,3068,8830,8582,8180,8210
31,3289,8700,8659,8610,8619
32,3440,8760,8688,8550,8649
33,3533,9467,9316,8667,9167
34,3577,9634,9628,9424,9624
35,3644,10012,9835,9572,9577
36,3655,10887,10523,9997,10296
37,3942,10711,10705,10601,10701
38,4023,11730,11287,10630,10640
40,4035,11770,11769,11720,11770
39,4153,12112,11884,11652,11732
41,4344,12773,12551,11923,12222
44,4429,13148,12904,12688,12717
42,4460,13418,13417,13118,13418
43,4476,13602,13541,13402,13482
46,4639,13669,13551,13439,13449
45,4798,13661,13635,13511,13610
47,4828,14231,14081,13631,13931
49,4981,14129,14112,14079,14088
48,5054,15167,14780,14057,14357
50,5198,15784,15643,15024,15523
51,5305,16488,16285,15678,16177
53,5346,16618,16527,16448,16457
52,5477,16537,16537,16487,16537
54,5514,16621,16621,16501,16621
56,5668,16758,16617,16468,16477
55,5686,16870,16830,16740,16790
57,5733,17404,17269,16824,17124
58,5865,17583,17484,17273,17392
59,5953,17575,17575,17495,17575
60,6052,17667,17594,17477,17507
61,6112,18068,17907,17608,17687
63,6389,17821,17821,17791,17821
62,6498,18173,18055,17713,17813
64,6510,18452,18407,18162,18362
65,6672,18470,18430,18290,18390
66,6747,18695,18695,18395,18695
67,6760,18813,18789,18683,18773
68,6891,18772,18772,18682,18772
69,7059,19565,19180,18605,18685
70,7150,20585,20158,19475,19674
71,7231,20805,20805,20505,20805
72,7326,20810,20810,20710,20810
73,7537,21080,20816,20600,20629
75,7623,21335,21206,20995,21004
74,7678,21290,21290,21280,21290
78,7803,21275,21238,21165,21215
77,7844,21285,21285,21235,21285
76,7844,21435,21371,21285,21335
79,7943,21427,21427,21337,21427
80,8134,21276,21271,21236,21266
81,8353,21458,21357,21058,21257
82,8355,21556,21531,21456,21506
83,8399,21602,21602,21512,21602
85,8510,21752,21683,21492,21592
84,8632,22175,21829,21635,21641
87,8740,22806,22430,22076,22099
86,8830,23407,23076,22717,22726
88,8949,23589,23462,23289,23298
89,9184,23915,23624,23355,23434
92,9212,23977,23937,23887,23897
90,9230,24260,24122,23960,24049
91,9262,24870,24491,24230,24258
93,9341,24801,24801,24791,24801
94,9609,25244,25026,24534,24733
95,9774,25119,25113,25079,25109
97,9786,25577,25490,25107,25406
96,9861,26694,26135,25504,25593
99,9942,26982,26835,26612,26662
98,10066,27909,27390,26859,26978
