ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,146,1023,570,13,311
1,286,1027,1002,897,977
3,331,1684,1373,984,1063
2,391,1925,1925,1625,1925
4,659,2088,2004,1658,1957
6,684,2294,2165,2064,2073
7,789,2990,2740,2190,2490
5,791,3700,3406,2990,3089
8,950,3871,3721,3541,3571
9,1080,3842,3837,3742,3832
11,1125,4108,4102,3798,4097
10,1230,4503,4503,4003,4503
13,1405,4379,4379,4329,4379
12,1431,4393,4388,4353,4383
15,1598,4317,4317,4227,4317
14,1618,4979,4667,4299,4417
16,1885,4994,4895,4714,4807
17,1984,5016,5016,4896,5016
18,2004,5086,5085,4996,5086
19,2061,5630,5402,5030,5039
20,2288,6045,5731,5405,5454
22,2311,6413,6214,6023,6112
23,2367,6899,6727,6359,6558
21,2383,7193,7042,6883,6893
24,2527,7460,7292,7050,7059
26,2685,7843,7825,7303,7802
25,2787,7941,7940,7741,7941
28,2919,7840,7839,7810,7840
27,2959,7810,7810,7800,7810
30,3041,8460,8058,7730,7758
31,3152,9179,8916,8349,8648
29,3160,9614,9442,9174,9273
33,3332,9592,9554,9442,9491
32,3457,10099,9857,9469,9478
34,3487,10360,10265,10070,10119
35,3564,10974,10891,10284,10784
36,3721,11449,11206,10819,10827
37,3929,11741,11741,11241,11741
38,3993,13068,12605,11678,12177
39,4027,13296,13155,13036,13045
42,4213,13410,13360,13110,13310
40,4220,13984,13743,13404,13503
41,4292,13993,13958,13913,13923
43,4415,13970,13970,13870,13970
44,4576,15211,14758,13811,14310
46,4601,15386,15386,15186,15386
45,4767,15820,15456,15220,15230
47,4865,15913,15868,15723,15823
49,4921,16157,16157,15857,16157
48,5061,16638,16411,16018,16027
