ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,28,403,234,13,131
2,285,264,219,164,174
1,378,513,361,293,181
3,378,1114,862,394,302
4,458,1225,1174,1035,1124
5,546,1187,1187,1137,1187
7,811,2004,1352,924,953
6,833,2193,2187,1983,2183
8,1053,2135,2108,1975,2063
9,1110,2368,2322,2078,2278
10,1146,2424,2383,2334,2343
11,1304,2696,2455,2266,2275
12,1339,2782,2782,2662,2782
13,1428,3344,3276,2694,3194
15,1594,4280,3977,3180,3478
14,1661,4314,4268,4214,4224
16,1739,5338,4811,4238,4337
17,1742,5475,5397,5335,5344
18,2020,5728,5640,5198,5498
20,2098,6280,5985,5650,5660
19,2133,6366,6366,6246,6366
22,2268,6631,6531,6231,6431
21,2321,6689,6648,6579,6608
23,2406,6814,6809,6604,6804
25,2594,6827,6763,6627,6706
24,2684,7938,7438,6738,6938
27,2736,8577,8504,7887,8386
26,2759,8935,8784,8555,8634
28,2841,8883,8883,8853,8883
29,3100,9074,8940,8624,8724
32,3201,9182,9135,8972,9052
30,3217,9468,9417,9168,9367
31,3309,9697,9574,9377,9497
33,3475,9662,9637,9532,9612
34,3558,10199,9949,9579,9699
35,3683,11385,10785,10075,10085
36,3716,11393,11388,11353,11383
39,3927,11302,11302,11182,11302
37,3977,12083,11884,11253,11552
38,4031,12500,12279,12030,12059
40,4198,12453,12453,12333,12453
41,4354,12327,12327,12297,12327
43,4394,12358,12347,12288,12337
42,4416,12727,12600,12337,12436
44,4660,13054,12920,12484,12783
45,4707,13518,13239,13008,13057
46,4770,13465,13465,13455,13465
47,4897,13368,13368,13338,13368
50,5012,13464,13428,13254,13354
48,5041,13626,13555,13436,13516
51,5111,13977,13888,13557,13656
49,5182,14177,14151,13907,14106
52,5421,14338,14287,13938,14238
54,5522,14508,14437,14238,14338
53,5548,14633,14561,14483,14512
55,5705,15126,14703,14476,14525
57,5743,15169,15169,15089,15169
56,5856,15066,15066,15056,15066
58,6032,14981,14974,14891,14970
59,6086,15106,15061,14926,15016
60,6276,15608,15250,14918,14947
62,6288,15886,15785,15596,15685
61,6329,15995,15935,15845,15875
64,6491,16634,16474,15834,16334
63,6523,17063,16892,16603,16702
65,6590,17157,17067,16997,17007
66,6625,17222,17222,17122,17222
67,6885,17193,17178,16963,17163
70,7030,17098,17098,17048,17098
68,7073,17605,17580,17055,17555
69,7101,17698,17698,17578,17698
71,7218,18091,17991,17581,17881
73,7353,18267,18117,17957,17967
74,7446,18945,18582,18175,18184
72,7472,19039,19039,18919,19039
77,7743,18879,18873,18769,18868
75,7747,19025,18975,18875,18925
76,7786,19107,19107,18987,19107
78,7994,18999,18994,18899,18989
79,8063,19051,19005,18931,18960
80,8106,19279,19192,19009,19088
81,8135,19370,19355,19250,19340
82,8280,19706,19541,19226,19315
84,8425,19832,19745,19562,19652
85,8533,20144,19994,19724,19844
83,8555,20293,20229,20123,20153
86,8672,20847,20674,20177,20256
87,8968,20852,20744,20552,20631
89,9034,20886,20886,20786,20886
88,9093,22068,21641,20828,21327
90,9107,22154,22154,22054,22154
91,9379,22394,22145,21884,21973
94,9479,22635,22547,22295,22494
92,9483,23772,23517,22632,23131
93,9516,24420,24213,23740,23859
95,9549,24557,24512,24387,24467
